ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2009,1,11,101,1,2,30,0,0,0,1,56,1,1,1,1,8263, ,2, ,10,1,0,1,0,0,9,1,2009,101,1,1122,1,3,1,61,1,56,2,1,1,1,3143, ,1, 
2009,1,23,101,1,1,54,0,0,0,1,29,2,1,1,1,3131, ,2, ,9,1,0,1,0,0,20,1,2009,101,9,2121,1,4,2,62,1,29,1,1,1,2, ,1,4,1
2009,1,21,101,1,2,49,0,0,0,1,29,1,1,2,2, ,1,2, ,3,2,1,1,0,0,18,1,2009,101,1,2121,2, ,1,52,1,29,1,1,1,1,5169, ,4,1
2009,1,8,101,1,1,99,0,0,0,1,29,2,2,1,1,9112, ,2, ,1,99,99,99,99,99,7,1,2009,101,9,1122,2, ,2,99,1,29,2,2,1,2, ,1,4,1
2009,1,8,101,1,2,21,0,0,0,1,21,1,2,1,1,5131, ,2, ,4,99,99,99,99,99,8,1,2009,101,1,2122,2, ,1,52,1,99,2,2,1,1,6111, ,4,1
2009,1,14,101,1,2,37,0,0,0,1,29,2,1,1,1,5220, ,2, ,2,99,99,99,99,99,13,1,2009,101,9,2122,1,4,1,39,1,29,2,1,1,1,4215, ,1, 
2009,1,14,101,1,2,33,0,0,0,1,29,1,1,1,2, ,1,2, ,2,0,0,0,0,0,14,1,2009,101,9,1122,2, ,1,27,1,39,1,1,1,1,7136, ,1, 
2009,1,20,106,1,2,16,0,0,0,1,21,1,9,1,9, , ,9, ,4,99,99,99,99,99,5,1,2009,107,9,2212,9, ,1,59,2,10,9,1,9,2, ,9,3, 
2009,1,19,106,1,2,21,0,0,0,1,26,3,9,1,2, ,1,9, ,2,99,99,99,99,99,18,1,2009,106,9,2122,9, ,1,20,1,10,3,1,1,1,9999, ,3, 
2009,1,7,106,1,2,41,0,0,0,1,23,3,1,1,1,9112, ,9, ,1,99,99,99,99,99,99,99,9999,106,9,1122,2, ,1,99,2,10,3,1,1,1,9112, ,3, 
