DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
18,2015,35.982142857142854,31.571428571428573,4.0,4.0,500,31.148275862068967,33.11206896551724,26.0,26.0,5249.0,6111.0,IJ,3,580
18,2016,36.0,35.27777777777778,4.0,4.0,136,31.9419795221843,34.503412969283275,26.0,26.0,5249.0,6111.0,IJ,3,586
18,2017,,,,,0,31.54953560371517,34.859133126934985,26.0,26.0,9111.0,6111.0,IJ,3,646
18,2018,,,,,0,32.690932311621964,34.485312899106006,26.0,26.0,5249.0,6111.0,IJ,3,783
19,2009,,,,,0,32.72813238770686,33.92553191489362,26.0,26.0,9131.0,9211.0,,3,846
19,2010,36.8,34.53333333333333,,,92,31.685126582278482,35.40981012658228,10.0,26.0,9131.0,9211.0,,3,632
19,2011,35.483870967741936,30.125,,,127,32.05239520958084,34.881736526946106,10.0,26.0,9131.0,9211.0,,4,668
19,2012,37.66990291262136,32.51327433628319,1.0,1.0,391,32.55521936459909,34.19213313161876,10.0,29.0,9111.0,6111.0,,4,661
19,2013,35.5,32.888888888888886,1.0,1.0,93,32.21313672922252,36.11796246648794,10.0,10.0,5249.0,6111.0,,3,746
19,2014,,,,,0,34.167381974248926,48.36766809728183,10.0,10.0,2341.0,6111.0,Z,3,699
19,2015,32.54545454545455,28.5,4.0,4.0,492,34.085385878489326,43.083743842364534,29.0,29.0,5249.0,6111.0,IJ,3,609
19,2016,33.46666666666667,31.25,1.0,4.0,136,35.291280148423006,41.55658627087198,29.0,29.0,5249.0,6111.0,IJ,4,539
19,2017,,,,,0,36.12338593974175,42.89956958393113,29.0,29.0,5249.0,6111.0,IJ,4,697
19,2018,,,,,0,34.88178913738019,40.55111821086262,29.0,29.0,5249.0,6111.0,IJ,3,626
20,2009,,,,,0,35.831761006289305,44.72641509433962,10.0,10.0,5220.0,9211.0,,4,636
20,2010,37.833333333333336,29.285714285714285,,,61,34.13112582781457,43.554966887417216,10.0,10.0,9131.0,9211.0,,4,755
20,2011,32.59090909090909,28.105263157894736,,,94,37.22222222222222,42.80222222222222,29.0,10.0,5220.0,9211.0,,4,450
20,2012,33.93023255813954,32.3,1.0,1.0,314,35.514824797843666,50.43396226415094,29.0,29.0,9211.0,6111.0,,4,371
20,2013,28.9,26.11111111111111,1.0,4.0,105,34.07972665148064,42.92027334851936,29.0,10.0,5249.0,9211.0,,3,439
20,2014,,,,,0,34.0641592920354,39.8141592920354,29.0,29.0,5249.0,6111.0,IJ,3,452
20,2015,36.285714285714285,31.19047619047619,1.0,4.0,444,33.81772151898734,40.40253164556962,29.0,29.0,5249.0,5249.0,IJ,3,395
20,2016,33.53846153846154,32.76923076923077,4.0,1.0,120,33.842233009708735,39.592233009708735,29.0,29.0,5249.0,9211.0,IJ,3,412
20,2017,,,,,0,34.323660714285715,40.25892857142857,29.0,10.0,5249.0,9211.0,IJ,3,448
20,2018,,,,,0,35.246350364963504,43.17335766423358,10.0,26.0,5249.0,9211.0,IJ,3,548
21,2009,,,,,0,31.912582781456955,33.9841059602649,10.0,10.0,9131.0,9211.0,,4,755
21,2010,35.142857142857146,34.714285714285715,,,59,31.952981651376145,34.73853211009175,10.0,10.0,5220.0,9211.0,,4,872
21,2011,32.25,30.7,,,108,32.32987220447284,33.415335463258785,10.0,10.0,6111.0,6111.0,IJ,4,1252
21,2012,42.528301886792455,32.81481481481482,1.0,1.0,243,31.86148346738159,33.9562109025916,10.0,10.0,9111.0,6111.0,,4,1119
21,2013,34.0,29.1,4.0,1.0,90,32.66985645933014,33.71052631578947,10.0,10.0,9111.0,6111.0,IJ,4,836
21,2014,,,,,0,32.41109969167523,33.356628982528264,10.0,10.0,6111.0,6111.0,IJ,4,973
21,2015,33.794117647058826,30.96969696969697,1.0,4.0,396,31.683916083916085,32.87692307692308,10.0,10.0,6111.0,6111.0,IJ,4,715
